"","X","x1","x2","x3","p1","p2","p3","ev","ev_var","coefvar","entropy","std_prb","std_out","type","rare","HorL"
"91","S23G3",-2,-24,0,0.71,0.147894736842105,0.142105263157895,-4.96947368421053,61.6334776334776,1.57978483840858,0.54616675900277,0.326215745841182,13.3166562369588,"l_hvar",FALSE,"H"
"92","S23G4",-4,-12,0,0.5,0.236842105263158,0.263157894736842,-4.84210526315789,18.605648319934,0.890816345959037,0.375346260387812,0.144936067033845,6.11010092660779,"l_lvar",FALSE,"H"
"93","S24G1",2,24,0,0.62,0.194736842105263,0.185263157894737,5.91368421052632,79.5308183879612,1.50802866276085,0.45664487534626,0.248305801395101,13.3166562369588,"w_hvar",FALSE,"H"
"94","S24G2",6,12,0,0.53,0.244210526315789,0.22578947368421,6.11052631578947,16.8831168831169,0.672430950415721,0.391519667590028,0.170567192415034,6,"w_lvar",FALSE,"H"
"95","S24G3",-1,-23,0,0.74,0.185263157894737,0.0747368421052632,-5.00105263157895,73.3725005153577,1.71279440195363,0.587508033240997,0.356493127498739,13,"l_hvar",TRUE,"H"
"96","S24G4",-9,-12,0,0.23,0.258421052631579,0.511578947368421,-5.17105263157895,29.2504638218924,1.04589339515651,0.381394459833795,0.155017944929711,6.2449979983984,"l_lvar",FALSE,"H"
"97","S25G1",0,1,18,0.44,0.250526315789474,0.309473684210526,5.82105263157895,66.5357658214801,1.40128364745156,0.352137396121884,0.096964072698475,10.1159939369957,"w_hvar",FALSE,"H"
"98","S25G2",6,12,0,0.59,0.208947368421053,0.201052631578947,6.04736842105263,14.6938775510204,0.633872309921611,0.432181163434903,0.222314900649473,6,"w_lvar",FALSE,"H"
"99","S25G3",-1,-23,-18,0.8,0.147368421052632,0.0526315789473684,-5.13684210526316,67.9684601113173,1.60493518660644,0.664487534626039,0.406911661968974,11.5325625946708,"l_hvar",TRUE,"H"
"100","S25G4",-3,-2,-18,0.8,0.0631578947368421,0.136842105263158,-4.98947368421053,26.2263450834879,1.02639410553664,0.662714681440443,0.405820987694765,8.9628864398325,"l_lvar",TRUE,"H"
"101","S26G1",2,24,0,0.65,0.189473684210526,0.160526315789474,5.84736842105263,76.5360824742268,1.49614145490829,0.484168975069252,0.27462305232438,13.3166562369588,"w_hvar",FALSE,"H"
"102","S26G2",5,13,0,0.47,0.268421052631579,0.261578947368421,5.83947368421053,22.9851576994434,0.821013008372628,0.361373407202216,0.11840623688996,6.557438524302,"w_lvar",FALSE,"H"
"103","S26G3",-1,-23,0,0.65,0.192105263157895,0.157894736842105,-5.06842105263158,77.873869135283,1.74109789449668,0.484335180055402,0.27477431350298,13,"l_hvar",FALSE,"H"
"104","S26G4",-4,-12,0,0.5,0.247368421052632,0.252631578947368,-4.96842105263158,18.8827045969903,0.87460852496611,0.375013850415512,0.144361554927514,6.11010092660779,"l_lvar",FALSE,"H"
"105","S27G1",2,24,0,0.71,0.19421052631579,0.0957894736842105,6.08105263157895,77.7126365697794,1.44966301691643,0.550993351800554,0.329893936339561,13.3166562369588,"w_hvar",TRUE,"H"
"106","S27G2",7,13,0,0.41,0.25,0.34,6.12,25.1369696969697,0.81922847389162,0.3462,0.0802080627701064,6.50640709864771,"w_lvar",FALSE,"H"
"107","S27G3",-1,-23,0,0.62,0.198947368421053,0.181052631578947,-5.19578947368421,77.5289631003917,1.69465166272152,0.456760110803324,0.24842179601435,13,"l_hvar",FALSE,"H"
"108","S27G4",-4,-12,0,0.71,0.171052631578947,0.118947368421053,-4.89263157894737,12.0255617398475,0.708777907311058,0.547507479224377,0.327241612490713,6.11010092660779,"l_lvar",FALSE,"H"
"109","S28G1",1,23,18,0.74,0.126315789473684,0.133684210526316,6.05157894736842,73.3570397856112,1.41531202137919,0.581427146814404,0.352202934031697,11.5325625946708,"w_hvar",FALSE,"H"
"110","S28G2",4,2,18,0.65,0.192105263157895,0.157894736842105,5.82631578947368,27.9806438039133,0.907893342628575,0.484335180055402,0.27477431350298,8.71779788708135,"w_lvar",FALSE,"H"
"111","S28G3",0,-1,-18,0.41,0.32,0.27,-5.18,60.5178313749742,1.50179937312778,0.3434,0.0709459888459759,10.1159939369957,"l_hvar",FALSE,"H"
"112","S28G4",-4,-2,-18,0.71,0.182631578947368,0.107368421052632,-5.1378947368421,19.6198721913008,0.862110400807213,0.548982271468144,0.328366364092617,8.71779788708135,"l_lvar",FALSE,"H"
"113","S29G1",3,24,0,0.71,0.165263157894737,0.124736842105263,6.09631578947369,63.8256029684601,1.31047882457416,0.546971191135734,0.326831652232767,13.076696830622,"w_hvar",FALSE,"H"
"114","S29G2",6,12,0,0.53,0.236842105263158,0.233157894736842,6.0221052631579,16.8979591836735,0.682603932451432,0.391356786703601,0.170328290912385,6,"w_lvar",FALSE,"H"
"115","S29G3",0,-22,-18,0.77,0.173157894736842,0.0568421052631579,-4.83263157894737,78.2989074417646,1.83102453438868,0.626114681440443,0.382610342324348,11.7189305541646,"l_hvar",TRUE,"H"
"116","S29G4",-3,-13,0,0.35,0.305263157894737,0.344736842105263,-5.01842105263158,29.6938775510204,1.08584131045757,0.334529085872576,0.0244515085346778,6.80685928555405,"l_lvar",FALSE,"H"
"117","S30G1",0,1,18,0.29,0.395789473684211,0.314210526315789,6.05157894736842,66.152133580705,1.34401224218758,0.33947756232687,0.055426658719142,10.1159939369957,"w_hvar",FALSE,"H"
"118","S30G2",3,13,0,0.44,0.36,0.2,6,29.0909090909091,0.89893314995099,0.3632,0.122202018532156,6.80685928555405,"w_lvar",FALSE,"H"
"119","S30G3",-2,0,-18,0.2,0.536842105263158,0.263157894736842,-5.13684210526316,60.1764584621727,1.51013959857475,0.397451523545706,0.179050537855061,9.8657657246325,"l_hvar",FALSE,"H"
"120","S30G4",-3,-13,-18,0.8,0.168421052631579,0.031578947368421,-5.1578947368421,18.8827045969903,0.842480048538785,0.669362880886427,0.4098960524042,7.63762615825973,"l_lvar",TRUE,"H"
"121","S31G1",1,23,18,0.77,0.182105263157895,0.0478947368421052,5.82052631578947,78.5029890744176,1.52223197254891,0.62835623268698,0.384072193313736,11.5325625946708,"w_hvar",TRUE,"H"
"122","S31G2",6,12,0,0.71,0.159473684210526,0.130526315789474,6.17368421052632,10.2708719851577,0.519109822944487,0.546568975069252,0.326523844256372,6,"w_lvar",FALSE,"H"
"123","S31G3",0,-1,-18,0.53,0.211052631578947,0.258947368421053,-4.87210526315789,60.0018552875696,1.58988487140486,0.392496952908587,0.171993632985721,10.1159939369957,"l_hvar",FALSE,"H"
"124","S31G4",-5,-13,0,0.68,0.12,0.2,-4.96,12.6835703978561,0.71802420594203,0.5168,0.302875111776015,6.557438524302,"l_lvar",FALSE,"H"
"125","S32G1",2,0,18,0.32,0.391578947368421,0.288421052631579,5.83157894736842,60.6242011956298,1.33517089028146,0.338920775623269,0.0528556633197209,9.8657657246325,"w_hvar",FALSE,"H"
"126","S32G2",6,12,0,0.62,0.181052631578947,0.198947368421053,5.89263157894737,13.5881261595547,0.625562197205797,0.456760110803324,0.24842179601435,6,"w_lvar",FALSE,"H"
